year,population,gdp
2023,   13438.63,  254194.89
2022,   13424.75,  241976.48
2021,   13391.12,  231997.74
2020,   13326.96,  205084.78
2019,   13261.66,  196961.28
2018,   13175.53,  184313.61
2017,   13089.86,  166437.45
2016,   13001.80,  149250.06
2015,   12907.46,  143327.72
2014,   12865.62,  127618.22
2013,   12810.52,  117925.49
2012,   12766.22,  107783.13
2011,   12729.39,   97881.36
2010,   12206.55,   83615.18
2009,   12154.66,   70702.36
2008,   12101.12,   64521.91
2007,   12035.76,   55454.92
2006,   11960.89,   46553.25
2005,   11869.68,   39757.24
2003,   11750.69,   27300.03
2002,   11693.07,   23030.66
2001,   11639.11,   20513.20
2000,   11592.67,   18505.25
1999,   11528.84,   16512.14
1998,   11483.73,   15367.79
