时间(年),年末总人口(万人)国家统计局,GDP(亿元)国家统计局
1990,567.04,46.86
1991,573.37,48.89
1992,578.12,58.34
1993,582.16,88.89
1994,585.38,138.26
1995,589.96,173.14
1996,591.53,205.12
1997,594.46,252.2
1998,596.73,247.98
1999,598.03,248.23
2000,601.32,252.44
2001,602.94,264.14
2002,604.11,285.21
2003,605.2,320.43
2004,604.2,392.02
2005,605.55,429.64
2006,607.89,494.21
2007,610.99,587.66
2008,613.89,704.72
2009,615.88,770.66
2010,615.62,988.11
2011,618.65,1215.7
2012,620.43,1359.7
2013,621.7,1418.23
2014,620.9,1544.32
2015,622.1,1613.2
2016,529.1,1531.18
2017,530.5,1708.83
2018,528.4,2196.8
2019,528.6,2380.5
2020,,
